path	status	expected	reason
gcc/testsuite/gcc.dg/c99-align-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-anon-struct-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-array-lval-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-array-lval-2.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-array-lval-3.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-array-lval-4.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-array-lval-5.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-array-lval-6.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-array-lval-7.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-array-lval-8.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-array-nonobj-1.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-arraydecl-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-arraydecl-2.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-arraydecl-3.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-arraydecl-4.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-atomic-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-bool-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-bool-2.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-bool-3.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-bool-4.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-compare-incomplete-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-compare-incomplete-2.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-complex-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-complex-2.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-complex-3.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-complit-1.c	skipped	accept	current lexer+parser+sema rejects this GCC accept case: sema-error
gcc/testsuite/gcc.dg/c99-complit-2.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-condexpr-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-const-expr-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-const-expr-10.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-const-expr-11.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-const-expr-12.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-const-expr-13.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-const-expr-14.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-const-expr-15.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-const-expr-2.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-const-expr-3.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-const-expr-4.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-const-expr-5.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-const-expr-6.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-const-expr-7.c	skipped	reject	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-const-expr-8.c	skipped	reject	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-const-expr-9.c	skipped	reject	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-digraph-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-dupqual-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-enum-comma-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-flex-array-1.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-flex-array-2.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-flex-array-3.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-flex-array-5.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-flex-array-6.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-flex-array-7.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-flex-array-typedef-1.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-flex-array-typedef-2.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-flex-array-typedef-3.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-flex-array-typedef-5.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-flex-array-typedef-7.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-flex-array-typedef-8.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-float-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-fordecl-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-fordecl-2.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-fordecl-3.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-func-1.c	skipped	accept	current lexer+parser+sema rejects this GCC accept case: sema-error
gcc/testsuite/gcc.dg/c99-func-2.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-func-3.c	skipped	accept	current lexer+parser+sema rejects this GCC accept case: sema-error
gcc/testsuite/gcc.dg/c99-func-4.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-hexfloat-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-hexfloat-2.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-hexfloat-3.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: lexer-error
gcc/testsuite/gcc.dg/c99-idem-qual-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-idem-qual-2.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-idem-qual-3.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-impl-decl-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-impl-int-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-impl-int-2.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-init-1.c	skipped	accept	current lexer+parser+sema rejects this GCC accept case: parser-error
gcc/testsuite/gcc.dg/c99-init-2.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-init-3.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-init-4.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-init-5.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-init-6.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-intconst-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-intconst-2.c	skipped	reject	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-intprom-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-left-shift-1.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-left-shift-2.c	skipped	reject	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-left-shift-3.c	skipped	reject	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-longlong-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-longlong-2.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-main-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-math-double-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-math-float-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-math-long-double-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-mixdecl-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-noreturn-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-predef-1.c	skipped	accept	requires preprocessor or system macro handling
gcc/testsuite/gcc.dg/c99-restrict-1.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-restrict-2.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-restrict-3.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-restrict-4.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-return-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: sema-error
gcc/testsuite/gcc.dg/c99-scope-1.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-scope-2.c	imported-accept	accept	current lexer+parser+sema accepts GCC C99 accept case
gcc/testsuite/gcc.dg/c99-static-1.c	skipped	reject	current semantic layer accepts this GCC reject case
gcc/testsuite/gcc.dg/c99-static-assert-1.c	imported-reject	reject	current lexer+parser+sema rejects GCC C99 reject case: parser-error
gcc/testsuite/gcc.dg/c99-static-assert-2.c	skipped	accept	current lexer+parser+sema rejects this GCC accept case: parser-error
